"","coef","se","pval","country","formula","capital","dgvm","iso3"
"log(temp + 1)62",-0.145415412235854,0.0285365113144397,8.8972110862761e-07,"BA","log","mN","all","BIH"
"log(temp + 1)63",-0.143241035549279,0.0308666450045078,6.76201003453891e-06,"BA","log","nN","all","BIH"
"temp56",-0.0716545167093084,0.00827805356372322,3.48068700953012e-13,"BA","lin","mN","lpj","BIH"
"temp57",-0.0676332526906865,0.00812804357044217,1.61300374173844e-12,"BA","lin","nN","lpj","BIH"
"temp58",-0.0276417551211412,0.00865364341586909,0.00436147605344708,"BA","lin","mN","orc","BIH"
"temp59",-0.0270083491360671,0.00862580450852459,0.0050475169303766,"BA","lin","nN","orc","BIH"
"temp60",-0.104909904520438,0.0254770013759542,0.000140176448260447,"BA","lin","mN","car","BIH"
"temp61",-0.11253698437218,0.0272780602636638,0.000136700603519515,"BA","lin","nN","car","BIH"
"temp62",-0.0748500614202485,0.0101485508231613,6.18837919376029e-12,"BA","lin","mN","all","BIH"
"temp63",-0.0733814937197188,0.0113538240874889,9.73332386643983e-10,"BA","lin","nN","all","BIH"
"I(temp^2)64",-0.000113265569240003,0.00221957966892339,0.95942556820008,"BD","sq","mN","lpj","BGD"
"I(temp^2)65",0.000228075628023963,0.00212103268208635,0.914630823677731,"BD","sq","nN","lpj","BGD"
"I(temp^2)66",0.00758098396434477,0.0036560938710638,0.0506158255194593,"BD","sq","mN","orc","BGD"
"I(temp^2)67",0.00605897958490331,0.00284095165943648,0.0449112284958883,"BD","sq","nN","orc","BGD"
"I(temp^2)68",0.000163836785791706,0.000967639824902674,0.866217987290723,"BD","sq","mN","car","BGD"
"I(temp^2)69",0.00299017518074224,0.0019880407687453,0.138728451043838,"BD","sq","nN","car","BGD"
"I(temp^2)70",-0.00260344268693322,0.00169533566492392,0.12641991903849,"BD","sq","mN","all","BGD"
"I(temp^2)71",-0.00189000667811656,0.0016267789100318,0.246886114398049,"BD","sq","nN","all","BGD"
"log(temp + 1)64",0.0467048172337949,0.0282511549185358,0.102113917103342,"BD","log","mN","lpj","BGD"
"log(temp + 1)65",0.0441681779621949,0.02691257288956,0.104591916190956,"BD","log","nN","lpj","BGD"
"log(temp + 1)66",0.0376829109408046,0.0197969072090551,0.070775073805257,"BD","log","mN","orc","BGD"
"log(temp + 1)67",0.039743182965705,0.0140249744946272,0.0099465076159114,"BD","log","nN","orc","BGD"
"log(temp + 1)68",0.00559670988868379,0.0062733189816111,0.376505391883353,"BD","log","mN","car","BGD"
"log(temp + 1)69",0.0175503411375353,0.0130453539930473,0.184469342885619,"BD","log","nN","car","BGD"
"log(temp + 1)70",-0.00537765403569459,0.0185205031030672,0.771880997630499,"BD","log","mN","all","BGD"
"log(temp + 1)71",0.00163429467135709,0.0179377243271134,0.927509302406895,"BD","log","nN","all","BGD"
"temp64",0.0108320845924248,0.0102543143510214,0.293913296257201,"BD","lin","mN","lpj","BGD"
"temp65",0.0111423097834189,0.00976927829973163,0.257379232081547,"BD","lin","nN","lpj","BGD"
"temp66",0.0207108158009166,0.00946859666418618,0.0401737371783417,"BD","lin","mN","orc","BGD"
"temp67",0.0195886690459009,0.00691517952756215,0.00996976128048441,"BD","lin","nN","orc","BGD"
"temp68",0.00177697232148737,0.00286139587934254,0.537354953685308,"BD","lin","mN","car","BGD"
"temp69",0.0088936786533318,0.00589785811588021,0.137737366635573,"BD","lin","nN","car","BGD"
"temp70",-0.00524476778067737,0.00721111275616969,0.467997913420583,"BD","lin","mN","all","BGD"
"temp71",-0.00218407659162548,0.00696062923452362,0.754062952944477,"BD","lin","nN","all","BGD"
"I(temp^2)72",-0.0130184821176383,0.00206237336720107,1.33180227740381e-08,"BE","sq","mN","lpj","BEL"
"I(temp^2)73",-0.0147119958497965,0.00244148225339137,4.58747291555252e-08,"BE","sq","nN","lpj","BEL"
"I(temp^2)74",-0.0554746642555052,0.0114675005972248,8.80380798576892e-05,"BE","sq","mN","orc","BEL"
