year,countrycode,intensity
2181,AFG,1.3068909678278664e-8
2182,AFG,1.2852075511022652e-8
2183,AFG,1.2638810564508875e-8
2184,AFG,1.2429056562362539e-8
2185,AFG,1.2222756171827575e-8
2186,AFG,1.2019852988617372e-8
2187,AFG,1.1820291522006592e-8
2188,AFG,1.1624017180160261e-8
2189,AFG,1.1430976255696415e-8
2190,AFG,1.1241115911478607e-8
2191,AFG,1.1054384166634652e-8
2192,AFG,1.0870729882798017e-8
2193,AFG,1.0690102750568383e-8
2194,AFG,1.0512453276187883e-8
2195,AFG,1.0337732768429622e-8
2196,AFG,1.0165893325695144e-8
2197,AFG,9.996887823317519e-9
2198,AFG,9.830669901066813e-9
2199,AFG,9.667193950854762e-9
2200,AFG,9.506415104635465e-9
2201,AFG,9.348289222499041e-9
2202,AFG,9.192772880955163e-9
2203,AFG,9.039823361403493e-9
2204,AFG,8.889398638788045e-9
2205,AFG,8.7414573704326e-9
2206,AFG,8.595958885054254e-9
2207,AFG,8.452863171952344e-9
2208,AFG,8.312130870369928e-9
2209,AFG,8.17372325902513e-9
2210,AFG,8.037602245809618e-9
2211,AFG,7.90373035765162e-9
2212,AFG,7.772070730540823e-9
2213,AFG,7.642587099712636e-9
2214,AFG,7.515243789989271e-9
2215,AFG,7.390005706275159e-9
2216,AFG,7.2668383242042506e-9
2217,AFG,7.1457076809368405e-9
2218,AFG,7.02658036610347e-9
2219,AFG,6.9094235128936565e-9
2220,AFG,6.794204789287088e-9
2221,AFG,6.680892389425076e-9
2222,AFG,6.569455025120011e-9
2223,AFG,6.459861917500659e-9
2224,AFG,6.352082788791108e-9
2225,AFG,6.246087854221287e-9
2226,AFG,6.141847814066948e-9
2227,AFG,6.039333845817051e-9
2228,AFG,5.938517596466553e-9
2229,AFG,5.8393711749325896e-9
2230,AFG,5.74186714459211e-9
2231,AFG,5.6459785159390155e-9
2232,AFG,5.5516787393589294e-9
2233,AFG,5.4589416980197105e-9
2234,AFG,5.367741700875884e-9
2235,AFG,5.278053475785173e-9
2236,AFG,5.189852162735358e-9
2237,AFG,5.103113307179709e-9
2238,AFG,5.017812853479256e-9
2239,AFG,4.9339271384502166e-9
2240,AFG,4.851432885014896e-9
2241,AFG,4.770307195954421e-9
2242,AFG,4.690527547761689e-9
2243,AFG,4.612071784592936e-9
2244,AFG,4.534918112316357e-9
2245,AFG,4.459045092656233e-9
2246,AFG,4.384431637431052e-9
2247,AFG,4.311057002884119e-9
2248,AFG,4.238900784105193e-9
2249,AFG,4.167942909541694e-9
2250,AFG,4.098163635598059e-9
2251,AFG,4.029543541321846e-9
2252,AFG,3.962063523175196e-9
2253,AFG,3.895704789890305e-9
2254,AFG,3.830448857407565e-9
2255,AFG,3.766277543895044e-9
2256,AFG,3.703172964848038e-9
2257,AFG,3.6411175282673775e-9
2258,AFG,3.5800939299152853e-9
2259,AFG,3.5200851486475002e-9
2260,AFG,3.461074441820486e-9
2261,AFG,3.4030453407725078e-9
2262,AFG,3.3459816463774107e-9
2263,AFG,3.289867424669934e-9
2264,AFG,3.2346870025414264e-9
2265,AFG,3.180424963504829e-9
2266,AFG,3.1270661435278316e-9
